datetime	laeq_BullIsland2	laeq_Ballyferm3	laeq_Ballymun4	laeq_DCCRowingClub5	laeq_NavanRoad8	laeq_Raheny9	laeq_ChanceryPark11	laeq_BlessingtonBasin12	laeq_DolphinsBarn13	day_of_month	day_of_week	hour_of_day
2015-01-01	64.75173913043479	58.934347826086956	62.27739130434782	59.31	58.611304347826085	54.546521739130434	60.91608695652174	58.17869565217391	60.72913043478261	1.0	3.0	12.0
2015-01-02	62.02608695652174	57.11565217391305	61.01478260869565	55.02608695652174	56.057391304347824	51.93782608695652	60.081304347826084	52.61173913043478	56.67782608695652	2.0	4.0	12.0
2015-01-03	47.14086956521739	56.94391304347826	63.07130434782608	54.20217391304348	55.00869565217391	55.6295652173913	60.50652173913044	50.27608695652174	56.77130434782609	3.0	5.0	12.0
2015-01-04	47.41	56.86454545454546	62.67318181818182	56.23909090909091	55.940909090909095	53.36636363636364	59.530454545454546	51.00863636363636	56.07	4.0	6.0	11.5
2015-01-05	54.286086956521736	56.3091304347826	62.56217391304348	56.67173913043479	55.30565217391304	53.56260869565217	60.417391304347824	50.910869565217396	56.436521739130434	5.0	0.0	12.0
2015-01-06	55.77909090909091	57.76909090909091	61.63954545454545	55.64727272727273	55.75090909090909	53.00545454545455	60.53590909090909	52.5	56.85227272727273	6.0	1.0	11.5
2015-01-07	68.69217391304348	59.46130434782608	62.589999999999996	58.864782608695656	58.32130434782609	53.91782608695652	61.56739130434782	56.42260869565217	60.582608695652176	7.0	2.0	12.0
2015-01-08	60.756086956521735	58.8395652173913	62.28652173913043	57.59608695652174	57.36652173913044	53.18869565217391	61.376086956521746	56.53478260869565	59.11173913043478	8.0	3.0	12.0
2015-01-09	77.1404347826087	60.30347826086957	63.278695652173916	60.11	58.77434782608695	56.71478260869566	63.025217391304345	60.783478260869565	60.80391304347826	9.0	4.0	12.0
2015-01-10	73.05380952380953	60.00285714285714	63.27095238095238	58.67047619047619	58.82	55.900000000000006	61.5452380952381	58.38095238095238	59.99285714285714	10.0	5.0	11.0
2015-01-11	68.26882352941176	57.580588235294115	60.95941176470588	56.279411764705884	57.27588235294118	51.804117647058824	59.94941176470588	55.57588235294117	56.74823529411765	11.0	6.0	9.0
2015-01-12	80.53	57.90599999999999	60.938	60.656000000000006	56.64	52.965999999999994	58.903999999999996	62.584	60.964	12.0	0.0	3.0
2015-01-13	69.11545454545454	57.89681818181818	61.35727272727272	56.77090909090909	57.02090909090909	52.43727272727272	60.96636363636364	53.68636363636363	57.57909090909091	13.0	1.0	11.5
2015-01-14	66.98913043478261	59.455652173913045	62.77	59.28521739130434	58.194782608695654	54.41652173913043	61.603913043478265	57.64	59.503478260869564	14.0	2.0	12.0
2015-01-15	81.80041666666666	60.04	64.18124999999999	60.33958333333334	59.456250000000004	56.715833333333336	62.115	60.206250000000004	62.91	15.0	3.0	11.5
2015-01-16	54.53958333333333	58.45249999999999	62.7775	55.81916666666667	57.12083333333334	53.84625	61.54666666666666	53.279583333333335	58.26625000000001	16.0	4.0	11.5
2015-01-17	52.155833333333334	58.22291666666666	62.70291666666666	55.837916666666665	57.114583333333336	52.86375	60.63166666666667	52.184583333333336	57.44083333333333	17.0	5.0	11.5
2015-01-18	44.36666666666667	56.98541666666667	63.29125	52.61000000000001	55.455000000000005	52.99375	59.459583333333335	50.25625	56.83541666666667	18.0	6.0	11.5
2015-01-19	44.086666666666666	56.559583333333336	62.46416666666667	54.3475	54.63958333333333	51.66708333333333	61.160833333333336	48.76916666666667	56.748333333333335	19.0	0.0	11.5
2015-01-20	48.096666666666664	56.20083333333333	62.806666666666665	55.612500000000004	54.089166666666664	54.02791666666667	61.40166666666667	49.08375	55.846666666666664	20.0	1.0	11.5
2015-01-21	41.91708333333333	57.355	63.19416666666667	53.04916666666667	54.798750000000005	54.73458333333334	61.5525	50.38291666666667	57.44916666666666	21.0	2.0	11.5
2015-01-22	42.69708333333333	56.569583333333334	63.37833333333333	54.994166666666665	54.76541666666666	53.25625	61.498333333333335	50.90833333333333	57.11625	22.0	3.0	11.5
2015-01-23	51.32083333333333	58.251666666666665	63.08625	57.11875	57.2575	55.06875	62.25	53.84458333333333	57.99	23.0	4.0	11.5
2015-01-24	46.45739130434782	58.39782608695653	63.0595652173913	54.86565217391305	56.96869565217391	54.72652173913043	60.62826086956522	51.86347826086956	57.37913043478261	24.0	5.0	12.0
2015-01-25	52.63863636363636	56.96454545454546	61.73136363636363	55.51454545454545	56.558181818181815	52.189090909090915	59.33681818181819	51.696363636363635	56.447272727272725	25.0	6.0	11.5
2015-01-26	46.76958333333334	57.58958333333334	62.22833333333333	53.96541666666667	55.775416666666665	53.52583333333333	60.62125	53.155833333333334	57.520833333333336	26.0	0.0	11.5
2015-01-27	50.5425	57.43291666666667	61.47666666666667	55.280833333333334	55.93125	52.12083333333334	60.565	54.51333333333333	56.81375	27.0	1.0	11.5
2015-01-28	71.03791666666667	59.300000000000004	62.66291666666667	58.114583333333336	57.85958333333334	54.925000000000004	61.63166666666667	58.163333333333334	59.661249999999995	28.0	2.0	11.5
2015-01-29	64.31458333333333	59.102916666666665	62.89291666666667	56.977916666666665	57.90708333333333	55.05375	61.97083333333333	56.65833333333333	59.217083333333335	29.0	3.0	11.5
2015-01-30	53.38166666666667	58.79833333333334	63.553333333333335	54.880833333333335	56.92583333333334	54.16083333333333	61.68666666666667	55.16916666666666	58.73	30.0	4.0	11.5
2015-01-31	50.21130434782608	58.17260869565217	63.89260869565217	53.62173913043478	56.746956521739136	54.64695652173913	60.58782608695652	52.87521739130435	58.39304347826087	31.0	5.0	12.0
2015-02-01	44.65	57.263749999999995	62.66583333333333	52.96416666666667	56.0075	52.37083333333334	59.306666666666665	50.70708333333334	56.32958333333334	1.0	6.0	11.5
2015-02-02	41.91833333333333	57.28375	62.810833333333335	53.119166666666665	55.36333333333334	52.77375	60.48916666666667	50.93208333333333	56.70249999999999	2.0	0.0	11.5
2015-02-03	43.13291666666667	56.74166666666667	63.17916666666667	52.935833333333335	54.4925	52.33875	60.75791666666667	50.32958333333334	56.77666666666667	3.0	1.0	11.5
2015-02-04	40.717083333333335	56.649166666666666	62.962916666666665	53.06916666666667	54.59375	52.14958333333333	60.4325	51.26416666666666	57.01499999999999	4.0	2.0	11.5
2015-02-05	41.22875	57.13583333333333	63.46208333333333	52.88	54.34791666666666	52.50416666666666	60.25958333333333	50.32874999999999	56.9025	5.0	3.0	11.5
2015-02-06	42.7225	56.02708333333334	63.553333333333335	53.965	53.15416666666667	53.1475	60.80416666666667	49.5625	56.86666666666667	6.0	4.0	11.5
2015-02-07	38.95727272727272	56.54863636363636	63.84090909090909	54.219545454545454	53.78090909090909	52.58954545454546	59.92318181818182	49.717727272727274	56.935909090909085	7.0	5.0	11.5
2015-02-08	42.70041666666666	57.78	63.04583333333333	54.27666666666667	56.62416666666667	52.37875	60.20416666666667	50.59458333333333	57.42333333333334	8.0	6.0	11.5
2015-02-09	42.50083333333333	56.71416666666667	62.572916666666664	53.010416666666664	54.84458333333333	51.71416666666667	60.798750000000005	50.07083333333333	57.71041666666667	9.0	0.0	11.5
2015-02-10	40.44833333333333	55.34916666666667	62.38583333333333	52.38625	53.44	51.52666666666667	60.905	49.17291666666667	55.86666666666667	10.0	1.0	11.5
2015-02-11	44.70809523809524	55.787142857142854	62.24619047619048	54.022380952380956	53.57047619047619	51.82952380952381	60.23904761904762	49.13857142857143	55.7952380952381	11.0	2.0	11.0
2015-02-12	48.19875	56.012499999999996	62.718333333333334	55.430416666666666	54.124583333333334	52.19208333333333	59.95041666666666	48.779583333333335	55.79916666666667	12.0	3.0	11.5
2015-02-13	54.63916666666666	57.134166666666665	64.34041666666667	55.71958333333333	54.873333333333335	56.305416666666666	61.86625	50.71875	57.13166666666667	13.0	4.0	11.5
2015-02-14	46.236250000000005	56.69875	63.689166666666665	54.20249999999999	53.62041666666667	53.369166666666665	60.12958333333333	48.744166666666665	56.91958333333333	14.0	5.0	11.5
2015-02-15	49.52956521739131	56.73304347826087	63.89521739130434	57.48086956521739	55.43347826086956	54.705652173913045	59.58782608695652	49.96434782608696	56.592173913043474	15.0	6.0	12.0
2015-02-16	46.5075	57.71958333333333	63.13916666666666	53.82458333333333	55.745000000000005	52.86958333333333	61.512499999999996	52.685833333333335	57.23708333333334	16.0	0.0	11.5
2015-02-17	48.862500000000004	57.062083333333334	62.11875	54.720416666666665	55.65708333333333	51.3725	60.912083333333335	51.458333333333336	56.114583333333336	17.0	1.0	11.5
2015-02-18	54.76739130434783	57.122173913043476	61.766956521739125	55.96739130434783	56.13826086956522	51.86652173913044	60.27478260869565	51.955652173913045	56.18347826086956	18.0	2.0	12.0
2015-02-19	54.114583333333336	58.16375	62.82708333333333	55.86083333333334	56.16583333333333	53.51583333333334	61.47666666666667	52.60874999999999	57.022083333333335	19.0	3.0	11.5
2015-02-20	48.78666666666666	58.13833333333333	62.76791666666667	55.16916666666666	56.665	52.79624999999999	61.43083333333333	52.895833333333336	57.95249999999999	20.0	4.0	11.5
2015-02-21	50.793749999999996	57.865	62.92666666666667	54.53541666666666	56.659166666666664	52.88166666666667	60.38166666666667	52.16958333333333	57.44708333333333	21.0	5.0	11.5
2015-02-22	59.33181818181818	57.79045454545455	63.372727272727275	56.941818181818185	57.48045454545454	54.61545454545455	60.07454545454546	53.58909090909091	56.78181818181818	22.0	6.0	11.5
2015-02-23	79.12545454545455	59.27090909090909	63.441818181818185	59.653636363636366	58.974545454545456	55.052727272727275	62.376363636363635	57.71045454545455	60.47954545454545	23.0	0.0	11.5
2015-02-24	60.04833333333334	57.96	62.33708333333333	56.37625	56.99208333333333	53.28375	61.04916666666667	54.28	57.812083333333334	24.0	1.0	11.5
2015-02-25	52.678333333333335	57.088750000000005	62.54666666666666	55.34833333333333	55.96333333333333	52.951249999999995	60.90375	52.13999999999999	56.82083333333333	25.0	2.0	11.5
2015-02-26	59.862500000000004	57.605	62.58208333333334	55.927083333333336	56.786249999999995	53.35708333333333	60.76916666666667	53.600833333333334	58.005833333333335	26.0	3.0	11.5
2015-02-27	53.48	57.81583333333333	62.375	56.73875	56.531666666666666	51.98541666666667	61.227916666666665	53.10958333333334	57.35208333333333	27.0	4.0	11.5
2015-02-28	60.41	57.192727272727275	62.63727272727272	57.028181818181814	57.153181818181814	52.98909090909091	60.16272727272727	54.23227272727272	57.76545454545454	28.0	5.0	11.5
2015-03-01	65.37416666666667	57.85458333333333	62.82125	56.76916666666667	57.51791666666667	54.782916666666665	60.46666666666667	55.64208333333334	58.70416666666667	1.0	6.0	11.5
2015-03-02	68.4309090909091	58.14545454545455	63.04409090909091	57.35045454545455	57.615	54.083181818181814	61.68272727272727	54.58772727272728	58.71409090909091	2.0	0.0	11.954545454545455
2015-03-03	69.52055555555555	57.257222222222225	61.58166666666667	56.93	56.78055555555555	51.86	60.949999999999996	54.91888888888889	58.019999999999996	3.0	1.0	9.5
2015-03-04	53.22083333333333	57.07041666666667	61.692499999999995	54.93416666666667	55.67875	52.57416666666666	60.4975	53.02458333333333	61.126666666666665	4.0	2.0	11.5
2015-03-05	54.90875	55.92291666666667	61.29583333333333	55.48875	55.7275	50.818749999999994	59.854166666666664	51.74333333333333	60.18666666666667	5.0	3.0	11.5
2015-03-06	62.00833333333333	56.755833333333335	61.95541666666667	57.57	56.94166666666666	51.73875	60.656666666666666	53.492916666666666	62.39666666666667	6.0	4.0	11.5
2015-03-07	67.53583333333333	57.1775	62.10125	57.617916666666666	57.55583333333333	52.1025	59.95041666666666	53.84916666666667	59.49625	7.0	5.0	11.5
2015-03-08	48.43958333333333	55.98583333333334	61.39458333333334	55.151250000000005	55.70708333333334	52.315	59.1975	50.78333333333333	56.770833333333336	8.0	6.0	11.5
2015-03-09	63.56095238095238	57.489999999999995	62.53619047619048	58.07619047619047	56.93333333333333	53.68904761904762	60.87190476190476	54.83904761904761	59.406190476190474	9.0	0.0	11.0
2015-03-10	48.87652173913044	55.47608695652174	61.51521739130435	54.12	53.75739130434783	51.88173913043478	59.80913043478262	51.060869565217395	57.06	10.0	1.0	12.0
2015-03-11	56.36708333333333	56.427083333333336	62.5	57.456250000000004	55.61000000000001	54.23500000000001	60.7875	51.19875	58.01958333333334	11.0	2.0	11.5
2015-03-12	54.739583333333336	57.25416666666666	64.09958333333334	56.78	56.33166666666667	55.82666666666666	61.53791666666667	51.571666666666665	56.9575	12.0	3.0	11.5
2015-03-13	42.59291666666667	56.55166666666667	63.532916666666665	54.990833333333335	53.69416666666667	53.22958333333333	60.89458333333334	50.78916666666667	56.967083333333335	13.0	4.0	11.5
2015-03-14	48.39208333333334	55.255833333333335	62.848333333333336	54.50666666666667	53.76833333333334	52.77375	59.965	47.87583333333333	56.50333333333333	14.0	5.0	11.5
2015-03-15	49.205555555555556	50.58888888888889	58.74888888888889	52.971111111111114	51.583333333333336	48.446666666666665	57.10222222222222	45.742222222222225	55.086666666666666	15.0	6.0	5.0
2015-03-16	48.22782608695652	54.96826086956521	63.12913043478261	55.802608695652175	53.06782608695652	52.60260869565217	61.496521739130436	52.0195652173913	59.44130434782609	16.0	0.0	12.0
2015-03-17	43.48285714285714	54.07238095238095	62.98142857142858	55.55095238095238	53.723333333333336	52.27761904761904	61.35142857142856	49.43333333333333	55.83047619047619	17.0	1.0	11.0
2015-03-18	43.84	55.196000000000005	62.06933333333333	53.46066666666666	54.15333333333333	51.32333333333334	60.397333333333336	52.95533333333333	56.08533333333333	18.0	2.0	8.0
2015-03-19	42.770833333333336	54.884166666666665	61.85791666666666	54.129999999999995	53.537083333333335	51.46458333333334	60.04416666666666	49.46625	55.617916666666666	19.0	3.0	11.5
2015-03-20	42.80590909090909	56.150454545454544	62.11045454545455	53.07863636363636	54.95454545454545	52.22590909090909	60.60590909090909	50.791818181818186	57.62681818181818	20.0	4.0	11.5
2015-03-21	41.20136363636363	54.72727272727273	62.63636363636363	53.27136363636364	52.995909090909095	52.59318181818182	59.14909090909091	48.85090909090909	57.317727272727275	21.0	5.0	11.5
2015-03-22	44.334583333333335	54.54458333333333	61.13166666666667	53.982499999999995	54.03041666666667	51.00875	58.088750000000005	49.33708333333333	55.73666666666667	22.0	6.0	11.5
2015-03-23	44.78695652173913	56.313478260869566	61.087391304347825	52.71130434782608	54.22913043478261	51.23695652173913	60.22260869565217	52.496086956521744	57.86521739130435	23.0	0.0	12.0
2015-03-24	46.013749999999995	56.22416666666667	61.87958333333333	52.78958333333333	55.07041666666667	51.901666666666664	60.33416666666667	52.309583333333336	56.71208333333333	24.0	1.0	11.5
